sample,type,hc_af_threshold,breseq_total,hc_total,concordant,breseq_only,hc_only
A0-F0-I1-R1,clonal,>=90%,11,40,0,11,40
A0-F0-I2-R1,clonal,>=90%,8,42,0,8,42
A1-F6-I1-R1,clonal,>=90%,23,44,4,19,40
A1-F6-I2-R1,population,>=5%,821,349,76,745,273
A1-F6-I3-R1,population,>=5%,824,295,94,730,201
A3-F3-I1-R1,clonal,>=90%,20,47,8,12,39
A3-F3-I2-R1,population,>=5%,828,311,102,726,209
A3-F3-I3-R1,population,>=5%,854,322,95,759,227
A4-F5-I1-R1,clonal,>=90%,23,43,9,14,34
A4-F5-I2-R1,population,>=5%,853,300,83,770,217
A4-F5-I3-R1,population,>=5%,876,297,88,788,209
A5-F4-I1-R1,clonal,>=90%,24,53,10,14,43
A5-F4-I2-R1,population,>=5%,809,287,64,745,223
A5-F4-I3-R1,population,>=5%,906,299,97,809,202
A6-F6-I1-R1,clonal,>=90%,28,55,11,17,44
A6-F6-I2-R1,population,>=5%,809,285,83,726,202
A6-F6-I3-R1,population,>=5%,867,309,94,773,215
