sample,type,hc_af_threshold,breseq_total,hc_total,breseq_near_hc,breseq_unique,hc_near_breseq,hc_unique
A0-F0-I1-R1,clonal,>=90%,11,40,4,7,4,36
A0-F0-I2-R1,clonal,>=90%,8,42,5,3,5,37
A1-F6-I1-R1,clonal,>=90%,23,44,14,9,14,30
A1-F6-I2-R1,population,>=5%,823,349,203,620,155,194
A1-F6-I3-R1,population,>=5%,838,295,222,616,148,147
A3-F3-I1-R1,clonal,>=90%,20,47,14,6,14,33
A3-F3-I2-R1,population,>=5%,834,311,254,580,164,147
A3-F3-I3-R1,population,>=5%,865,322,231,634,155,167
A4-F5-I1-R1,clonal,>=90%,23,43,12,11,12,31
A4-F5-I2-R1,population,>=5%,860,300,210,650,145,155
A4-F5-I3-R1,population,>=5%,885,297,213,672,156,141
A5-F4-I1-R1,clonal,>=90%,24,53,20,4,20,33
A5-F4-I2-R1,population,>=5%,822,287,163,659,108,179
A5-F4-I3-R1,population,>=5%,911,299,204,707,145,154
A6-F6-I1-R1,clonal,>=90%,28,55,21,7,21,34
A6-F6-I2-R1,population,>=5%,822,285,195,627,138,147
A6-F6-I3-R1,population,>=5%,876,309,227,649,153,156
