sample,type,breseq,hc_pass_af5,hc_pass_af10,hc_pass_af90,hc_hard_filtered
A0-F0-I1-R1,clonal,11,91,91,40,50
A0-F0-I2-R1,clonal,8,88,88,42,50
A1-F6-I1-R1,clonal,23,106,106,44,62
A1-F6-I2-R1,population,823,349,283,35,8
A1-F6-I3-R1,population,838,295,255,36,15
A3-F3-I1-R1,clonal,20,99,99,47,56
A3-F3-I2-R1,population,834,311,262,22,6
A3-F3-I3-R1,population,865,322,268,25,7
A4-F5-I1-R1,clonal,23,97,97,43,62
A4-F5-I2-R1,population,860,300,266,36,5
A4-F5-I3-R1,population,885,297,253,37,10
A5-F4-I1-R1,clonal,24,113,113,53,68
A5-F4-I2-R1,population,822,287,195,38,9
A5-F4-I3-R1,population,911,299,258,33,5
A6-F6-I1-R1,clonal,28,101,101,55,58
A6-F6-I2-R1,population,822,285,254,31,8
A6-F6-I3-R1,population,876,309,269,35,7
