project,project description,experiment/subproject,A,F,I,R,experiment details,sample type,filename,filename2,additional read files,indexfile,indexfile2,additional index files,starting strain,reference file name(s),reference file url(s),medium derived from,medium modifications,carbon source,medium description,environmental condition modifications,taxonomy id,ploidy,accession,ALE module,owner,owner email,pre culture details,cultivation details,sequencing library prep kit manufacturer,sequencing library prep kit,sequencing library prep kit cycles,sequencing library layout,read length
ZL_dev_Tolerance to Dicarboxylic acids in S cerevisiae,Adaptive laboratory evolution for tolerance to dicarboxylic acids,CENPK113-7D,0,0,1,1,,clonal,CENPK113-7D-N_S53_L001_R1_001.fastq.gz,CENPK113-7D-N_S53_L001_R2_001.fastq.gz,"CENPK113-7D-N_S53_L002_R1_001.fastq.gz,CENPK113-7D-N_S53_L002_R2_001.fastq.gz,CENPK113-7D-N_S53_L003_R1_001.fastq.gz,CENPK113-7D-N_S53_L003_R2_001.fastq.gz,CENPK113-7D-N_S53_L004_R1_001.fastq.gz,CENPK113-7D-N_S53_L004_R2_001.fastq.gz",,,,CENPK113-7D,Saccharomyces_cerevisiae_S288C.gbk,https://www.ncbi.nlm.nih.gov/assembly/GCF_000146045.2/,YPD,N/A,glucose(20 g/L),,"temp:30
aerobic:true",4932,1,GCF_000146045.2,ALE,Your Name,your.email@example.com,,,,,,paired-end,150
ZL_dev_Tolerance to Dicarboxylic acids in S cerevisiae,Adaptive laboratory evolution for tolerance to dicarboxylic acids,CENPK113-7D,0,0,2,1,,clonal,CENPK113-7D-O_S52_L001_R1_001.fastq.gz,CENPK113-7D-O_S52_L001_R2_001.fastq.gz,"CENPK113-7D-O_S52_L002_R1_001.fastq.gz,CENPK113-7D-O_S52_L002_R2_001.fastq.gz,CENPK113-7D-O_S52_L003_R1_001.fastq.gz,CENPK113-7D-O_S52_L003_R2_001.fastq.gz,CENPK113-7D-O_S52_L004_R1_001.fastq.gz,CENPK113-7D-O_S52_L004_R2_001.fastq.gz",,,,CENPK113-7D,Saccharomyces_cerevisiae_S288C.gbk,https://www.ncbi.nlm.nih.gov/assembly/GCF_000146045.2/,YPD,N/A,glucose(20 g/L),,"temp:30
aerobic:true",4932,1,GCF_000146045.2,ALE,Your Name,your.email@example.com,,,,,,paired-end,150
ZL_dev_Tolerance to Dicarboxylic acids in S cerevisiae,Adaptive laboratory evolution for tolerance to dicarboxylic acids,CENPK113-7D,1,6,1,1,,clonal,A1-6_S2_L001_R1_001.fastq.gz,A1-6_S2_L001_R2_001.fastq.gz,"A1-6_S2_L002_R1_001.fastq.gz,A1-6_S2_L002_R2_001.fastq.gz,A1-6_S2_L003_R1_001.fastq.gz,A1-6_S2_L003_R2_001.fastq.gz,A1-6_S2_L004_R1_001.fastq.gz,A1-6_S2_L004_R2_001.fastq.gz",,,,CENPK113-7D,Saccharomyces_cerevisiae_S288C.gbk,https://www.ncbi.nlm.nih.gov/assembly/GCF_000146045.2/,YPD,N/A,glucose(20 g/L),,"temp:30
aerobic:true",4932,1,GCF_000146045.2,ALE,Your Name,your.email@example.com,,,,,,paired-end,150
ZL_dev_Tolerance to Dicarboxylic acids in S cerevisiae,Adaptive laboratory evolution for tolerance to dicarboxylic acids,CENPK113-7D,1,6,2,1,,population,Sp-A1-6-POS_S61_L001_R1_001.fastq.gz,Sp-A1-6-POS_S61_L001_R2_001.fastq.gz,"Sp-A1-6-POS_S61_L002_R1_001.fastq.gz,Sp-A1-6-POS_S61_L002_R2_001.fastq.gz,Sp-A1-6-POS_S61_L003_R1_001.fastq.gz,Sp-A1-6-POS_S61_L003_R2_001.fastq.gz,Sp-A1-6-POS_S61_L004_R1_001.fastq.gz,Sp-A1-6-POS_S61_L004_R2_001.fastq.gz",,,,CENPK113-7D,Saccharomyces_cerevisiae_S288C.gbk,https://www.ncbi.nlm.nih.gov/assembly/GCF_000146045.2/,YPD,N/A,glucose(20 g/L),,"temp:30
aerobic:true",4932,1,GCF_000146045.2,ALE,Your Name,your.email@example.com,,,,,,paired-end,150
ZL_dev_Tolerance to Dicarboxylic acids in S cerevisiae,Adaptive laboratory evolution for tolerance to dicarboxylic acids,CENPK113-7D,1,6,3,1,,population,Sp-A1-6-NEG_S62_L001_R1_001.fastq.gz,Sp-A1-6-NEG_S62_L001_R2_001.fastq.gz,"Sp-A1-6-NEG_S62_L002_R1_001.fastq.gz,Sp-A1-6-NEG_S62_L002_R2_001.fastq.gz,Sp-A1-6-NEG_S62_L003_R1_001.fastq.gz,Sp-A1-6-NEG_S62_L003_R2_001.fastq.gz,Sp-A1-6-NEG_S62_L004_R1_001.fastq.gz,Sp-A1-6-NEG_S62_L004_R2_001.fastq.gz",,,,CENPK113-7D,Saccharomyces_cerevisiae_S288C.gbk,https://www.ncbi.nlm.nih.gov/assembly/GCF_000146045.2/,YPD,N/A,glucose(20 g/L),,"temp:30
aerobic:true",4932,1,GCF_000146045.2,ALE,Your Name,your.email@example.com,,,,,,paired-end,150
ZL_dev_Tolerance to Dicarboxylic acids in S cerevisiae,Adaptive laboratory evolution for tolerance to dicarboxylic acids,CENPK113-7D,3,3,1,1,,clonal,A3-3_S7_L001_R1_001.fastq.gz,A3-3_S7_L001_R2_001.fastq.gz,"A3-3_S7_L002_R1_001.fastq.gz,A3-3_S7_L002_R2_001.fastq.gz,A3-3_S7_L003_R1_001.fastq.gz,A3-3_S7_L003_R2_001.fastq.gz,A3-3_S7_L004_R1_001.fastq.gz,A3-3_S7_L004_R2_001.fastq.gz",,,,CENPK113-7D,Saccharomyces_cerevisiae_S288C.gbk,https://www.ncbi.nlm.nih.gov/assembly/GCF_000146045.2/,YPD,N/A,glucose(20 g/L),,"temp:30
aerobic:true",4932,1,GCF_000146045.2,ALE,Your Name,your.email@example.com,,,,,,paired-end,150
ZL_dev_Tolerance to Dicarboxylic acids in S cerevisiae,Adaptive laboratory evolution for tolerance to dicarboxylic acids,CENPK113-7D,3,3,2,1,,population,Sp-A3-3-POS_S63_L001_R1_001.fastq.gz,Sp-A3-3-POS_S63_L001_R2_001.fastq.gz,"Sp-A3-3-POS_S63_L002_R1_001.fastq.gz,Sp-A3-3-POS_S63_L002_R2_001.fastq.gz,Sp-A3-3-POS_S63_L003_R1_001.fastq.gz,Sp-A3-3-POS_S63_L003_R2_001.fastq.gz,Sp-A3-3-POS_S63_L004_R1_001.fastq.gz,Sp-A3-3-POS_S63_L004_R2_001.fastq.gz",,,,CENPK113-7D,Saccharomyces_cerevisiae_S288C.gbk,https://www.ncbi.nlm.nih.gov/assembly/GCF_000146045.2/,YPD,N/A,glucose(20 g/L),,"temp:30
aerobic:true",4932,1,GCF_000146045.2,ALE,Your Name,your.email@example.com,,,,,,paired-end,150
ZL_dev_Tolerance to Dicarboxylic acids in S cerevisiae,Adaptive laboratory evolution for tolerance to dicarboxylic acids,CENPK113-7D,3,3,3,1,,population,Sp-A3-3-NEG_S64_L001_R1_001.fastq.gz,Sp-A3-3-NEG_S64_L001_R2_001.fastq.gz,"Sp-A3-3-NEG_S64_L002_R1_001.fastq.gz,Sp-A3-3-NEG_S64_L002_R2_001.fastq.gz,Sp-A3-3-NEG_S64_L003_R1_001.fastq.gz,Sp-A3-3-NEG_S64_L003_R2_001.fastq.gz,Sp-A3-3-NEG_S64_L004_R1_001.fastq.gz,Sp-A3-3-NEG_S64_L004_R2_001.fastq.gz",,,,CENPK113-7D,Saccharomyces_cerevisiae_S288C.gbk,https://www.ncbi.nlm.nih.gov/assembly/GCF_000146045.2/,YPD,N/A,glucose(20 g/L),,"temp:30
aerobic:true",4932,1,GCF_000146045.2,ALE,Your Name,your.email@example.com,,,,,,paired-end,150
ZL_dev_Tolerance to Dicarboxylic acids in S cerevisiae,Adaptive laboratory evolution for tolerance to dicarboxylic acids,CENPK113-7D,4,5,1,1,,clonal,A4-5_S11_L001_R1_001.fastq.gz,A4-5_S11_L001_R2_001.fastq.gz,"A4-5_S11_L002_R1_001.fastq.gz,A4-5_S11_L002_R2_001.fastq.gz,A4-5_S11_L003_R1_001.fastq.gz,A4-5_S11_L003_R2_001.fastq.gz,A4-5_S11_L004_R1_001.fastq.gz,A4-5_S11_L004_R2_001.fastq.gz",,,,CENPK113-7D,Saccharomyces_cerevisiae_S288C.gbk,https://www.ncbi.nlm.nih.gov/assembly/GCF_000146045.2/,YPD,N/A,glucose(20 g/L),,"temp:30
aerobic:true",4932,1,GCF_000146045.2,ALE,Your Name,your.email@example.com,,,,,,paired-end,150
ZL_dev_Tolerance to Dicarboxylic acids in S cerevisiae,Adaptive laboratory evolution for tolerance to dicarboxylic acids,CENPK113-7D,4,5,2,1,,population,Sp-A4-5-POS_S65_L001_R1_001.fastq.gz,Sp-A4-5-POS_S65_L001_R2_001.fastq.gz,"Sp-A4-5-POS_S65_L002_R1_001.fastq.gz,Sp-A4-5-POS_S65_L002_R2_001.fastq.gz,Sp-A4-5-POS_S65_L003_R1_001.fastq.gz,Sp-A4-5-POS_S65_L003_R2_001.fastq.gz,Sp-A4-5-POS_S65_L004_R1_001.fastq.gz,Sp-A4-5-POS_S65_L004_R2_001.fastq.gz",,,,CENPK113-7D,Saccharomyces_cerevisiae_S288C.gbk,https://www.ncbi.nlm.nih.gov/assembly/GCF_000146045.2/,YPD,N/A,glucose(20 g/L),,"temp:30
aerobic:true",4932,1,GCF_000146045.2,ALE,Your Name,your.email@example.com,,,,,,paired-end,150
