experiment,sample,status,clonal_or_population,ploidy,sex,lane,fastq_1,fastq_2
ALE_Exp1,A1-F6-I1-R1,1,clonal,2,XX,L001,../data/data_a_paper/A1-6_S2_L001_R1_001.fastq.gz,../data/data_a_paper/A1-6_S2_L001_R2_001.fastq.gz
ALE_Exp1,A1-F6-I1-R1,1,clonal,2,XX,L002,../data/data_a_paper/A1-6_S2_L002_R1_001.fastq.gz,../data/data_a_paper/A1-6_S2_L002_R2_001.fastq.gz
ALE_Exp1,A1-F6-I1-R1,1,clonal,2,XX,L003,../data/data_a_paper/A1-6_S2_L003_R1_001.fastq.gz,../data/data_a_paper/A1-6_S2_L003_R2_001.fastq.gz
ALE_Exp1,A1-F6-I1-R1,1,clonal,2,XX,L004,../data/data_a_paper/A1-6_S2_L004_R1_001.fastq.gz,../data/data_a_paper/A1-6_S2_L004_R2_001.fastq.gz
ALE_Exp1,A3-F3-I1-R1,1,clonal,2,XX,L001,../data/data_a_paper/A3-3_S7_L001_R1_001.fastq.gz,../data/data_a_paper/A3-3_S7_L001_R2_001.fastq.gz
ALE_Exp1,A3-F3-I1-R1,1,clonal,2,XX,L002,../data/data_a_paper/A3-3_S7_L002_R1_001.fastq.gz,../data/data_a_paper/A3-3_S7_L002_R2_001.fastq.gz
ALE_Exp1,A3-F3-I1-R1,1,clonal,2,XX,L003,../data/data_a_paper/A3-3_S7_L003_R1_001.fastq.gz,../data/data_a_paper/A3-3_S7_L003_R2_001.fastq.gz
ALE_Exp1,A3-F3-I1-R1,1,clonal,2,XX,L004,../data/data_a_paper/A3-3_S7_L004_R1_001.fastq.gz,../data/data_a_paper/A3-3_S7_L004_R2_001.fastq.gz
ALE_Exp1,A4-F5-I1-R1,1,clonal,2,XX,L001,../data/data_a_paper/A4-5_S11_L001_R1_001.fastq.gz,../data/data_a_paper/A4-5_S11_L001_R2_001.fastq.gz
ALE_Exp1,A4-F5-I1-R1,1,clonal,2,XX,L002,../data/data_a_paper/A4-5_S11_L002_R1_001.fastq.gz,../data/data_a_paper/A4-5_S11_L002_R2_001.fastq.gz
ALE_Exp1,A4-F5-I1-R1,1,clonal,2,XX,L003,../data/data_a_paper/A4-5_S11_L003_R1_001.fastq.gz,../data/data_a_paper/A4-5_S11_L003_R2_001.fastq.gz
ALE_Exp1,A4-F5-I1-R1,1,clonal,2,XX,L004,../data/data_a_paper/A4-5_S11_L004_R1_001.fastq.gz,../data/data_a_paper/A4-5_S11_L004_R2_001.fastq.gz
ALE_Exp1,A5-F4-I1-R1,1,clonal,2,XX,L001,../data/data_a_paper/A5-4_S14_L001_R1_001.fastq.gz,../data/data_a_paper/A5-4_S14_L001_R2_001.fastq.gz
ALE_Exp1,A5-F4-I1-R1,1,clonal,2,XX,L002,../data/data_a_paper/A5-4_S14_L002_R1_001.fastq.gz,../data/data_a_paper/A5-4_S14_L002_R2_001.fastq.gz
ALE_Exp1,A5-F4-I1-R1,1,clonal,2,XX,L003,../data/data_a_paper/A5-4_S14_L003_R1_001.fastq.gz,../data/data_a_paper/A5-4_S14_L003_R2_001.fastq.gz
ALE_Exp1,A5-F4-I1-R1,1,clonal,2,XX,L004,../data/data_a_paper/A5-4_S14_L004_R1_001.fastq.gz,../data/data_a_paper/A5-4_S14_L004_R2_001.fastq.gz
ALE_Exp1,A6-F6-I1-R1,1,clonal,2,XX,L001,../data/data_a_paper/A6-6_S17_L001_R1_001.fastq.gz,../data/data_a_paper/A6-6_S17_L001_R2_001.fastq.gz
ALE_Exp1,A6-F6-I1-R1,1,clonal,2,XX,L002,../data/data_a_paper/A6-6_S17_L002_R1_001.fastq.gz,../data/data_a_paper/A6-6_S17_L002_R2_001.fastq.gz
ALE_Exp1,A6-F6-I1-R1,1,clonal,2,XX,L003,../data/data_a_paper/A6-6_S17_L003_R1_001.fastq.gz,../data/data_a_paper/A6-6_S17_L003_R2_001.fastq.gz
ALE_Exp1,A6-F6-I1-R1,1,clonal,2,XX,L004,../data/data_a_paper/A6-6_S17_L004_R1_001.fastq.gz,../data/data_a_paper/A6-6_S17_L004_R2_001.fastq.gz
ALE_Exp1,A0-F0-I1-R1,0,clonal,2,XX,L001,../data/data_a_paper/CENPK113-7D-N_S53_L001_R1_001.fastq.gz,../data/data_a_paper/CENPK113-7D-N_S53_L001_R2_001.fastq.gz
ALE_Exp1,A0-F0-I1-R1,0,clonal,2,XX,L002,../data/data_a_paper/CENPK113-7D-N_S53_L002_R1_001.fastq.gz,../data/data_a_paper/CENPK113-7D-N_S53_L002_R2_001.fastq.gz
ALE_Exp1,A0-F0-I1-R1,0,clonal,2,XX,L003,../data/data_a_paper/CENPK113-7D-N_S53_L003_R1_001.fastq.gz,../data/data_a_paper/CENPK113-7D-N_S53_L003_R2_001.fastq.gz
ALE_Exp1,A0-F0-I1-R1,0,clonal,2,XX,L004,../data/data_a_paper/CENPK113-7D-N_S53_L004_R1_001.fastq.gz,../data/data_a_paper/CENPK113-7D-N_S53_L004_R2_001.fastq.gz
ALE_Exp1,A0-F0-I2-R1,1,clonal,2,XX,L001,../data/data_a_paper/CENPK113-7D-O_S52_L001_R1_001.fastq.gz,../data/data_a_paper/CENPK113-7D-O_S52_L001_R2_001.fastq.gz
ALE_Exp1,A0-F0-I2-R1,1,clonal,2,XX,L002,../data/data_a_paper/CENPK113-7D-O_S52_L002_R1_001.fastq.gz,../data/data_a_paper/CENPK113-7D-O_S52_L002_R2_001.fastq.gz
ALE_Exp1,A0-F0-I2-R1,1,clonal,2,XX,L003,../data/data_a_paper/CENPK113-7D-O_S52_L003_R1_001.fastq.gz,../data/data_a_paper/CENPK113-7D-O_S52_L003_R2_001.fastq.gz
ALE_Exp1,A0-F0-I2-R1,1,clonal,2,XX,L004,../data/data_a_paper/CENPK113-7D-O_S52_L004_R1_001.fastq.gz,../data/data_a_paper/CENPK113-7D-O_S52_L004_R2_001.fastq.gz
