clone_name_sup4,clone_name_sup5,library_name_sra,sample_name_sra,eaw_id,srr_accession,compound,is_parent,sra_batch,spots,bases,size_MB
Everolimus--R3d-2,,Everolimus--R3d-2,Everolimus--R3d-2,EAW502,SRR10985520,everolimus,False,original,10001842,2000368400,838
Etoposide--R9b-2,Etoposide-R9b-2,Etoposide--R9b-2,Etoposide--R9b-2,EAW505,SRR10985521,etoposide,False,original,9185191,1837038200,802
Etoposide--R7b-2,Etoposide-R7b-2,Etoposide--R7b-2,Etoposide--R7b-2,EAW504,SRR10985522,etoposide,False,original,3444518,688903600,304
AN7973-1R1e,,AN7973-1R1e,AN7973-1R1e,EAW718,SRR10985523,AN7973,False,original,5106688,1021337600,418
Etoposide--R5b-2,,Etoposide--R5b-2,Etoposide--R5b-2,EAW503,SRR10985524,etoposide,False,original,3520849,704169800,305
Etoposide--R4b-2,Etoposide-R4b-2,Etoposide--R4b-2,Etoposide--R4b-2,EAW502,SRR10985525,etoposide,False,original,6758741,1351748200,584
Etoposide--R10b-2,,Etoposide--R10b-2,Etoposide--R10b-2,EAW501,SRR10985526,etoposide,False,original,4296110,859222000,375
Doxorubicin-16--R2b,,Doxorubicin-16--R2b,Doxorubicin-16--R2b,EAW304,SRR10985527,doxorubicin,False,original,6997828,1399565600,704
Doxorubicin-15--R2b,,Doxorubicin-15--R2b,Doxorubicin-15--R2b,EAW093,SRR10985528,doxorubicin,False,original,6123062,1224612400,626
Doxorubicin-135--R2b,Doxorubicin-135-R2b,Doxorubicin-135--R2b,Doxorubicin-135--R2b,EAW262,SRR10985529,doxorubicin,False,original,5632790,1126558000,564
Doxorubicin-24R3a,Doxorubicin-24R3a,Doxorubicin-24-R3a,Doxorubicin-24-R3a,EAW702,SRR10985530,doxorubicin,False,original,6125142,1225028400,504
Diethylstilbestrol--17C,,Diethylstilbestrol--17C,Diethylstilbestrol--17C,EAW321,SRR10985531,diethylstilbestrol,False,original,2004865,400973000,189
Diethylstilbestrol--15A,Diethylstilbestrol-15A,Diethylstilbestrol--15A,Diethylstilbestrol--15A,EAW320,SRR10985532,diethylstilbestrol,False,original,2091870,418374000,196
Diethylstilbestrol--14C,,Diethylstilbestrol--14C,Diethylstilbestrol--14C,EAW908,SRR10985533,diethylstilbestrol,False,original,1925124,385024800,183
Amitriptyline--p3R3a,,Amitriptyline--p3R3a,Amitriptyline--p3R3a,EAW482,SRR10985534,amitriptyline,False,original,3350829,670165800,328
Diethylstilbestrol--13C,,Diethylstilbestrol--13C,Diethylstilbestrol--13C,EAW318,SRR10985535,diethylstilbestrol,False,original,3642649,728529800,329
,,DDD1035522--1R2a,DDD1035522--1R2a,,SRR10985536,,False,original,2712598,542519600,274
DDD01027481--23-R4a,,DDD01027481--23-R4a,DDD01027481--23-R4a,EAW435,SRR10985537,DDD01027481,False,original,5868314,1173662800,438
DDD01027481--22-R4a,,DDD01027481--22-R4a,DDD01027481--22-R4a,EAW434,SRR10985538,DDD01027481,False,original,5619703,1123940600,416
,,NODRUG--GM2,NODRUG--GM2,,SRR10985539,,True,original,3216392,643278400,391
Wortmannin--17-R3a,Wortmannin-17-R3a,Wortmannin -17-R3a,Wortmannin -17-R3a,EAW456,SRR10985540,wortmannin,False,original,7081030,1416206000,532
Wortmannin--14-R3a,,Wortmannin -14-R3a,Wortmannin -14-R3a,EAW453,SRR10985541,wortmannin,False,original,4769462,953892400,354
Wortmannin--13-R3a,Wortmannin-13R3a,Wortmannin -13-R3a,Wortmannin -13-R3a,EAW405,SRR10985542,wortmannin,False,original,4667345,933469000,345
TCMDC124263--16-R3a,,TCMDC124263-16-R3a,TCMDC124263-16-R3a,EAW420,SRR10985543,TCMDC-124263,False,original,5345252,1069050400,403
TCMDC124263--15-R3a,,TCMDC124263-15-R3a,TCMDC124263-15-R3a,EAW419,SRR10985544,TCMDC-124263,False,original,5552472,1110494400,416
DDD01027481--21-R4a,,DDD01027481--21-R4a,DDD01027481--21-R4a,EAW433,SRR10985545,DDD01027481,False,original,5998902,1199780400,447
TCMDC124263--14-R3a,,TCMDC124263-14-R3a,TCMDC124263-14-R3a,EAW418,SRR10985546,TCMDC-124263,False,original,5422304,1084460800,405
TCMDC124263--12-R3a,,TCMDC124263-12-R3a,TCMDC124263-12-R3a,EAW417,SRR10985547,TCMDC-124263,False,original,6209574,1241914800,462
TCMDC124263--11-R3a,,TCMDC124263-11-R3a,TCMDC124263-11-R3a,EAW406,SRR10985548,TCMDC-124263,False,original,7310007,1462001400,542
TCMDC124263--8-R3a,,TCMDC124263--8-R3a,TCMDC124263--8-R3a,EAW386,SRR10985549,TCMDC-124263,False,original,2377474,475494800,228
TCMDC124263--7-R3a,,TCMDC124263--7-R3a,TCMDC124263--7-R3a,EAW385,SRR10985550,TCMDC-124263,False,original,3859762,771952400,357
TCMDC124263--6-R3a,,TCMDC124263--6-R3a,TCMDC124263--6-R3a,EAW384,SRR10985551,TCMDC-124263,False,original,3971361,794272200,370
TCMDC124263--4-R3a,,TCMDC124263--4-R3a,TCMDC124263--4-R3a,EAW382,SRR10985552,TCMDC-124263,False,original,3939039,787807800,367
TCMDC124263--3-R3a,,TCMDC124263--3-R3a,TCMDC124263--3-R3a,EAW381,SRR10985553,TCMDC-124263,False,original,4172781,834556200,394
TCMDC124263--2-R3a,,TCMDC124263--2-R3a,TCMDC124263--2-R3a,EAW380,SRR10985554,TCMDC-124263,False,original,3825990,765198000,359
TCMDC124263--10R3a,,TCMDC124263--10R3a,TCMDC124263--10R3a,EAW309,SRR10985555,TCMDC-124263,False,original,3876334,775266800,318
DDD01027481--20-R4a,,DDD01027481--20-R4a,DDD01027481--20-R4a,EAW432,SRR10985556,DDD01027481,False,original,5935241,1187048200,442
TCMDC124263--1-R3a,,TCMDC124263--1-R3a,TCMDC124263--1-R3a,EAW379,SRR10985557,TCMDC-124263,False,original,4241873,848374600,395
Tav--9Res2c,Tavabarole-9Res2c,Tav--9Res2c,Tav--9Res2c,EAW169,SRR10985558,tavaborole,False,original,8605874,1712962795,782
Tav--8Res2b,,Tav--8Res2b,Tav--8Res2b,EAW164,SRR10985559,tavaborole,False,original,7561060,1504999626,690
Tav--7Res2c,,Tav--7Res2c,Tav--7Res2c,EAW163,SRR10985560,tavaborole,False,original,7458472,1484547094,690
Tav--11Res2b,,Tav--11Res2b,Tav--11Res2b,EAW165,SRR10985561,tavaborole,False,original,7331448,1459274689,672
Stauro--3Res2a,,Stauro--3Res2a,Stauro--3Res2a,EAW162,SRR10985562,staurosporine,False,original,5769221,1148263497,530
