sample,type,breseq,hc_pass_af5,hc_pass_af10,hc_pass_af90,hc_hard_filtered
A0-F0-I1-R1,clonal,11,91,91,40,18
A0-F0-I2-R1,clonal,8,88,88,42,20
A1-F6-I1-R1,clonal,23,106,106,44,24
A1-F6-I2-R1,population,823,349,283,35,32
A1-F6-I3-R1,population,838,295,255,36,36
A3-F3-I1-R1,clonal,20,99,99,47,22
A3-F3-I2-R1,population,834,311,262,22,25
A3-F3-I3-R1,population,865,322,268,25,40
A4-F5-I1-R1,clonal,23,97,97,43,26
A4-F5-I2-R1,population,860,300,266,36,24
A4-F5-I3-R1,population,885,297,253,37,25
A5-F4-I1-R1,clonal,24,113,113,53,38
A5-F4-I2-R1,population,822,287,195,38,63
A5-F4-I3-R1,population,911,299,258,33,17
A6-F6-I1-R1,clonal,28,101,101,55,34
A6-F6-I2-R1,population,822,285,254,31,20
A6-F6-I3-R1,population,876,309,269,35,14
