experiment,sample,status,clonal_or_population,ploidy,sex,cram,crai
Ottilie_grpA,NODRUG-GM2,0,clonal,1,XX,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/NODRUG-GM2/NODRUG-GM2.md.cram,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/NODRUG-GM2/NODRUG-GM2.md.cram.crai
Ottilie_grpA,ART--R5-2,0,clonal,1,XX,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/ART--R5-2/ART--R5-2.md.cram,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/ART--R5-2/ART--R5-2.md.cram.crai
Ottilie_grpA,BMS983970-2R1e,0,clonal,1,XX,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/BMS983970-2R1e/BMS983970-2R1e.md.cram,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/BMS983970-2R1e/BMS983970-2R1e.md.cram.crai
Ottilie_grpA,CBR110-14R3a,0,clonal,1,XX,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR110-14R3a/CBR110-14R3a.md.cram,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR110-14R3a/CBR110-14R3a.md.cram.crai
Ottilie_grpA,CBR110-15R3a,0,clonal,1,XX,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR110-15R3a/CBR110-15R3a.md.cram,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR110-15R3a/CBR110-15R3a.md.cram.crai
Ottilie_grpA,CBR113--1-R4a,0,clonal,1,XX,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR113--1-R4a/CBR113--1-R4a.md.cram,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR113--1-R4a/CBR113--1-R4a.md.cram.crai
Ottilie_grpA,CBR113-7R4a,0,clonal,1,XX,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR113-7R4a/CBR113-7R4a.md.cram,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR113-7R4a/CBR113-7R4a.md.cram.crai
Ottilie_grpA,CBR668--1-R3b,0,clonal,1,XX,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR668--1-R3b/CBR668--1-R3b.md.cram,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR668--1-R3b/CBR668--1-R3b.md.cram.crai
Ottilie_grpB,CBR668--2-R3b,0,clonal,1,XX,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR668--2-R3b/CBR668--2-R3b.md.cram,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR668--2-R3b/CBR668--2-R3b.md.cram.crai
Ottilie_grpB,CBR668--3-R3a,0,clonal,1,XX,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR668--3-R3a/CBR668--3-R3a.md.cram,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR668--3-R3a/CBR668--3-R3a.md.cram.crai
Ottilie_grpB,CBR668--4-R3a,0,clonal,1,XX,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR668--4-R3a/CBR668--4-R3a.md.cram,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR668--4-R3a/CBR668--4-R3a.md.cram.crai
Ottilie_grpB,CBR668--5-R3b,0,clonal,1,XX,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR668--5-R3b/CBR668--5-R3b.md.cram,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR668--5-R3b/CBR668--5-R3b.md.cram.crai
Ottilie_grpB,CBR668--7-R3b,0,clonal,1,XX,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR668--7-R3b/CBR668--7-R3b.md.cram,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR668--7-R3b/CBR668--7-R3b.md.cram.crai
Ottilie_grpB,CBR868--15R3a,0,clonal,1,XX,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR868--15R3a/CBR868--15R3a.md.cram,/home/azureuser/Docs/ALE_nextflow/output_ottilie_tier2/preprocessing/markduplicates/CBR868--15R3a/CBR868--15R3a.md.cram.crai
