sample	single_records	single_PASS	single_PASS_found_in_joint	single_PASS_LOST	single_nonPASS	single_nonPASS_found_in_joint	joint_present(GT alt)	joint_only_presences	joint_only_with_evidence	joint_only_without_evidence	matched_PR_SR_alt_differs	max_breakpoint_shift_bp	shifts_outside_joint_CIPOS
ART--R5-2	7	7	3	4	0	0	3	0	0	0	3	0	0
BMS983970-2R1e	14	11	3	8	3	0	3	0	0	0	2	0	0
CBR110-14R3a	15	6	3	3	9	4	3	0	0	0	6	232	0
CBR110-15R3a	22	15	6	9	7	2	5	1	1	0	7	166	1
CBR113--1-R4a	40	30	3	27	10	6	3	0	0	0	8	232	0
CBR113-7R4a	27	19	6	13	8	2	3	1	1	0	8	232	1
CBR668--1-R3b	15	12	1	11	3	0	1	0	0	0	1	0	0
CBR668--2-R3b	15	9	3	6	6	2	3	0	0	0	4	205	0
CBR668--3-R3a	20	16	5	11	4	0	3	0	0	0	5	199	0
CBR668--4-R3a	15	10	3	7	5	0	3	0	0	0	2	0	0
CBR668--5-R3b	19	13	3	10	6	0	3	0	0	0	1	0	0
CBR668--7-R3b	16	11	3	8	5	2	3	0	0	0	2	135	0
CBR868--15R3a	28	22	5	17	6	0	3	0	0	0	3	232	0
CBR868-2--R2a	13	9	7	2	4	0	3	0	0	0	7	220	0
CBR868-4--R2a	24	22	7	15	2	0	3	0	0	0	6	157	0
CBR868-5--R2a	25	23	7	16	2	0	3	0	0	0	7	232	0
CHX--Cy73-2	14	12	3	9	2	0	19	16	16	0	2	0	0
DDD01027481--11_R3a	26	22	12	10	4	0	3	1	1	0	11	232	1
DDD01027481--8_R3a	17	14	3	11	3	2	3	2	2	0	5	232	0
DDD01027481--9_R3a	16	9	3	6	7	2	3	2	2	0	5	232	0
DS28-R5-2	8	7	3	4	1	0	3	0	0	0	3	0	0
DS29--R6-2	8	7	3	4	1	0	3	0	0	0	1	0	0
DS4-R6-2	15	10	3	7	5	2	13	8	8	0	4	232	0
Diethylstilbestrol--13C	13	9	3	6	4	0	5	2	2	0	3	0	0
Diethylstilbestrol--14C	14	10	5	5	4	2	3	0	0	0	4	220	0
Diethylstilbestrol--15A	10	6	3	3	4	0	5	2	2	0	2	0	0
Diethylstilbestrol--17C	13	6	1	5	7	0	3	2	2	0	1	0	0
Doxorubicin-135-R2b	21	14	7	7	7	0	3	0	0	0	6	232	0
Doxorubicin-24R3a	16	6	3	3	10	6	3	0	0	0	8	220	0
Etoposide--R10b-2	10	10	3	7	0	0	3	0	0	0	3	0	0
Etoposide-R4b-2	18	12	3	9	6	2	3	0	0	0	4	220	0
Etoposide-R7b-2	9	9	3	6	0	0	3	0	0	0	0	0	0
Etoposide-R9b-2	19	13	3	10	6	0	3	0	0	0	1	0	0
GNF-Pf-1618-7R2b	9	7	2	5	2	0	3	1	1	0	1	50	1
GNFpf2740--15_R5a	23	19	9	10	4	2	7	2	2	0	8	232	0
