sample,truth_n,pipeline_total,evolved_unique,tp_sensitivity,fn_sensitivity,sensitivity_pct,tp_precision,fp_precision,precision_pct
Etoposide-R9b-2,3,277,46,3,0,100.0,3,43,6.5
Etoposide-R7b-2,4,297,59,4,0,100.0,4,55,6.8
Etoposide-R4b-2,3,280,46,3,0,100.0,3,43,6.5
Etoposide--R10b-2,6,287,60,6,0,100.0,6,54,10.0
Doxorubicin-135-R2b,4,287,54,4,0,100.0,4,50,7.4
Doxorubicin-24R3a,1,297,63,1,0,100.0,1,62,1.6
Diethylstilbestrol--17C,1,299,66,1,0,100.0,1,65,1.5
Diethylstilbestrol--15A,2,289,60,2,0,100.0,2,58,3.3
Diethylstilbestrol--14C,3,262,48,3,0,100.0,3,45,6.2
Diethylstilbestrol--13C,2,296,53,2,0,100.0,2,51,3.8
Wortmannin-17-R3a,1,291,62,1,0,100.0,1,61,1.6
Wortmannin-13R3a,5,302,72,5,0,100.0,5,67,6.9
TCMDC124263--11-R3a,5,311,75,5,0,100.0,5,70,6.7
TCMDC124263--3-R3a,5,271,47,5,0,100.0,5,42,10.6
Tavabarole-9Res2c,1,296,59,1,0,100.0,1,58,1.7
Tav--8Res2b,1,304,62,1,0,100.0,1,61,1.6
Stauro--3Res2a,4,300,70,4,0,100.0,4,66,5.7
Stauro--2Res2a,6,310,74,5,1,83.3,5,69,6.8
DDD01027481--9_R3a,4,281,59,4,0,100.0,4,55,6.8
CBR868-5--R2a,5,304,69,5,0,100.0,5,64,7.2
CBR868-4--R2a,1,310,61,1,0,100.0,1,60,1.6
CBR868-2--R2a,2,301,66,2,0,100.0,2,64,3.0
CBR868--15R3a,3,293,69,3,0,100.0,3,66,4.3
DDD01027481--8_R3a,4,315,98,4,0,100.0,4,94,4.1
CBR110-15R3a,4,281,55,4,0,100.0,4,51,7.3
CBR110-14R3a,7,281,53,7,0,100.0,7,46,13.2
CBR668--7-R3b,3,257,46,3,0,100.0,3,43,6.5
CBR668--5-R3b,7,257,54,7,0,100.0,7,47,13.0
DDD01027481--11_R3a,2,302,81,2,0,100.0,2,79,2.5
CBR668--4-R3a,6,258,55,6,0,100.0,6,49,10.9
CBR668--3-R3a,5,272,56,5,0,100.0,5,51,8.9
CBR668--2-R3b,7,279,64,7,0,100.0,7,57,10.9
CBR668--1-R3b,2,237,40,2,0,100.0,2,38,5.0
CBR113-7R4a,8,327,95,8,0,100.0,8,87,8.4
CBR113--1-R4a,4,293,63,4,0,100.0,4,59,6.3
CHX--Cy73-2,7,283,32,7,0,100.0,7,25,21.9
MMV665909--8R4a,7,291,55,7,0,100.0,7,48,12.7
MMV665882--16_R4a,15,327,108,15,0,100.0,14,94,13.0
MMV665852--17R3a,1,280,60,1,0,100.0,1,59,1.7
MMV665852--15R3a,4,269,48,4,0,100.0,4,44,8.3
MMV665852--13R3b,4,269,54,4,0,100.0,5,49,9.3
MMV665852--R1a-2,2,278,43,2,0,100.0,2,41,4.7
MMV665852--R39b,3,271,48,3,0,100.0,3,45,6.2
MMV665807--R5-2,4,278,22,4,0,100.0,4,18,18.2
MMV665807--R4-2,2,277,33,2,0,100.0,2,31,6.1
MMV665794-8R9c,7,282,58,7,0,100.0,7,51,12.1
MMV665794-7R9c,10,278,50,10,0,100.0,10,40,20.0
MMV665794-11R9c,3,290,58,3,0,100.0,3,55,5.2
MMV665794-10R9c,11,282,65,11,0,100.0,11,54,16.9
MMV396736--R10-2,1,265,35,1,0,100.0,1,34,2.9
MMV306025--R1-2,9,294,45,9,0,100.0,9,36,20.0
MMV1469689--5-R2a,4,298,44,4,0,100.0,4,40,9.1
MMV1469689--1-R2a,5,310,74,5,0,100.0,5,69,6.8
Z46108311--2R2c,2,274,53,2,0,100.0,2,51,3.8
MMV1078458--9_R3a,6,318,92,6,0,100.0,6,86,6.5
MMV1078458--8_R4a,5,326,104,5,0,100.0,5,99,4.8
MMV1078458--7_R3a,2,331,113,2,0,100.0,2,111,1.8
MMV1078458--6R3a,3,295,63,3,0,100.0,3,60,4.8
MMV1078458--5R3a,1,298,62,1,0,100.0,1,61,1.6
