sample,is_parent,manta_total,manta_pass,tiddit_total,tiddit_pass,union_total,consensus_total,union_pass_total,consensus_pass_total,supp_both,supp_manta_only,supp_tiddit_only,evolved_unique,evolved_unique_pass,union_svtypes
ART--R5-2,False,7,7,53,10,42,5,8,5,5,2,35,8,1,"{""TRA"": 34, ""DEL"": 3, ""DUP"": 3, ""INS"": 1, ""INV"": 1}"
BMS983970-2R1e,False,14,11,140,9,116,10,13,6,10,3,103,61,6,"{""INV"": 22, ""TRA"": 82, ""DEL"": 5, ""DUP"": 6, ""INS"": 1}"
CBR110-14R3a,False,15,6,110,12,94,10,12,5,10,4,80,41,6,"{""INV"": 11, ""TRA"": 70, ""DUP"": 8, ""DEL"": 4, ""INS"": 1}"
CBR110-15R3a,False,22,15,170,30,136,17,37,5,17,4,115,80,31,"{""INV"": 26, ""DUP"": 25, ""TRA"": 80, ""DEL"": 4, ""INS"": 1}"
CBR113--1-R4a,False,40,30,120,8,118,23,30,6,23,16,79,66,23,"{""INV"": 17, ""TRA"": 92, ""DEL"": 5, ""DUP"": 3, ""INS"": 1}"
CBR113-7R4a,False,27,19,159,9,144,17,22,6,17,10,117,81,14,"{""TRA"": 106, ""DEL"": 6, ""INV"": 26, ""DUP"": 4, ""INS"": 2}"
CBR668--1-R3b,False,15,12,32,6,37,8,16,2,8,7,22,16,13,"{""DUP"": 5, ""DEL"": 3, ""TRA"": 28, ""INS"": 1}"
CBR668--2-R3b,False,15,9,78,8,75,9,12,5,9,5,61,22,5,"{""TRA"": 62, ""INV"": 3, ""DEL"": 3, ""DUP"": 5, ""INS"": 2}"
CBR668--3-R3a,False,20,16,54,6,58,11,17,5,11,9,38,20,10,"{""TRA"": 46, ""DEL"": 4, ""DUP"": 3, ""INS"": 1, ""INV"": 4}"
CBR668--4-R3a,False,15,10,48,5,47,11,10,5,11,4,32,14,4,"{""DEL"": 3, ""TRA"": 38, ""DUP"": 2, ""INS"": 1, ""INV"": 3}"
CBR668--5-R3b,False,19,13,56,9,63,9,17,5,9,10,44,33,12,"{""DEL"": 5, ""TRA"": 50, ""DUP"": 4, ""INS"": 1, ""INV"": 3}"
CBR668--7-R3b,False,16,11,50,9,52,10,15,5,10,6,36,20,10,"{""TRA"": 40, ""DEL"": 3, ""DUP"": 4, ""INS"": 1, ""INV"": 4}"
CBR868--15R3a,False,28,22,62,8,72,15,24,6,15,13,44,28,15,"{""TRA"": 56, ""DEL"": 4, ""INV"": 9, ""DUP"": 2, ""INS"": 1}"
CBR868-2--R2a,False,13,9,97,12,90,10,16,5,10,3,77,47,10,"{""DEL"": 4, ""INV"": 18, ""TRA"": 60, ""DUP"": 7, ""INS"": 1}"
CBR868-4--R2a,False,24,22,140,11,118,14,25,6,14,9,95,65,19,"{""INV"": 27, ""TRA"": 80, ""DEL"": 4, ""DUP"": 6, ""INS"": 1}"
CBR868-5--R2a,False,25,23,148,11,132,15,26,5,15,9,108,81,21,"{""TRA"": 92, ""INV"": 30, ""DEL"": 3, ""DUP"": 6, ""INS"": 1}"
CHX--Cy73-2,False,14,12,196,79,186,5,71,5,5,6,175,90,40,"{""TRA"": 92, ""INV"": 35, ""DEL"": 37, ""DUP"": 20, ""INS"": 2}"
DDD01027481--11_R3a,False,26,22,317,10,305,18,29,3,18,8,279,257,23,"{""TRA"": 258, ""INV"": 34, ""DEL"": 5, ""DUP"": 8}"
DDD01027481--8_R3a,False,17,14,287,24,265,13,32,5,13,4,248,209,26,"{""DEL"": 5, ""INV"": 33, ""TRA"": 209, ""DUP"": 18}"
DDD01027481--9_R3a,False,16,9,258,11,242,10,16,3,10,6,226,188,10,"{""TRA"": 204, ""DEL"": 5, ""INV"": 27, ""DUP"": 6}"
DS28-R5-2,False,8,7,93,8,70,5,8,5,5,2,63,26,1,"{""INV"": 9, ""TRA"": 54, ""DEL"": 3, ""DUP"": 3, ""INS"": 1}"
DS29--R6-2,False,8,7,50,7,44,5,8,5,5,3,36,9,1,"{""DEL"": 4, ""TRA"": 34, ""DUP"": 3, ""INS"": 1, ""INV"": 2}"
DS4-R6-2,False,15,10,69,7,65,7,10,5,7,7,51,17,3,"{""TRA"": 52, ""DEL"": 4, ""INV"": 5, ""DUP"": 3, ""INS"": 1}"
Diethylstilbestrol--13C,False,13,9,75,7,73,10,9,6,10,2,61,28,4,"{""TRA"": 60, ""DEL"": 4, ""INV"": 5, ""DUP"": 3, ""INS"": 1}"
Diethylstilbestrol--14C,False,14,10,54,7,56,8,10,6,8,6,42,18,5,"{""TRA"": 44, ""DEL"": 4, ""DUP"": 2, ""INS"": 1, ""INV"": 5}"
Diethylstilbestrol--15A,False,10,6,59,7,58,7,7,6,7,3,48,16,2,"{""DEL"": 5, ""TRA"": 46, ""DUP"": 3, ""INS"": 1, ""INV"": 3}"
Diethylstilbestrol--17C,False,13,6,71,9,69,8,10,4,8,5,56,28,5,"{""INV"": 12, ""TRA"": 48, ""DEL"": 4, ""DUP"": 4, ""INS"": 1}"
Doxorubicin-135-R2b,False,21,14,89,9,89,12,17,5,12,8,69,40,10,"{""DEL"": 5, ""INV"": 13, ""TRA"": 66, ""DUP"": 4, ""INS"": 1}"
Doxorubicin-24R3a,False,16,6,149,16,118,11,14,6,11,5,102,68,8,"{""TRA"": 74, ""INV"": 27, ""DUP"": 10, ""DEL"": 6, ""INS"": 1}"
Etoposide--R10b-2,False,10,10,65,9,53,5,10,5,5,4,44,14,3,"{""TRA"": 42, ""DEL"": 4, ""INV"": 3, ""DUP"": 3, ""INS"": 1}"
Etoposide-R4b-2,False,18,12,83,8,75,9,13,5,9,9,57,26,5,"{""DEL"": 3, ""TRA"": 58, ""INV"": 9, ""DUP"": 3, ""INS"": 2}"
Etoposide-R7b-2,False,9,9,45,7,44,5,11,5,5,4,35,6,4,"{""DEL"": 4, ""TRA"": 34, ""DUP"": 3, ""INS"": 1, ""INV"": 2}"
Etoposide-R9b-2,False,19,13,127,11,100,15,16,7,15,4,81,45,8,"{""INV"": 18, ""TRA"": 70, ""DEL"": 4, ""DUP"": 6, ""INS"": 2}"
GNF-Pf-1618-7R2b,False,9,7,56,6,53,5,8,5,5,4,44,20,3,"{""TRA"": 44, ""DEL"": 3, ""DUP"": 3, ""INS"": 1, ""INV"": 2}"
GNFpf2740--15_R5a,False,23,19,286,8,282,13,22,5,13,10,259,230,16,"{""TRA"": 242, ""INV"": 29, ""DEL"": 5, ""DUP"": 5, ""INS"": 1}"
Hecto--16Res2a,False,26,19,210,13,154,17,21,7,17,8,129,99,14,"{""INV"": 49, ""TRA"": 92, ""DEL"": 6, ""DUP"": 6, ""INS"": 1}"
Hecto--7Res2a,False,23,18,179,21,150,16,29,6,16,6,128,92,24,"{""INV"": 30, ""DUP"": 14, ""TRA"": 98, ""DEL"": 7, ""INS"": 1}"
HygromycinB-36R8a,False,15,13,47,8,47,8,13,6,8,6,33,12,8,"{""INV"": 7, ""DEL"": 4, ""TRA"": 32, ""DUP"": 3, ""INS"": 1}"
Lapatanib--6R6b,False,12,7,51,6,54,7,8,5,7,5,42,15,3,"{""INV"": 2, ""TRA"": 44, ""DEL"": 4, ""DUP"": 3, ""INS"": 1}"
Lomerizine--21R3b,False,25,22,52,6,60,14,21,6,14,10,36,24,15,"{""TRA"": 50, ""DEL"": 4, ""DUP"": 2, ""INS"": 1, ""INV"": 3}"
MMV000570--R3-2,False,8,8,201,51,172,5,47,5,5,3,164,66,12,"{""DEL"": 40, ""INV"": 9, ""TRA"": 110, ""DUP"": 11, ""INS"": 2}"
MMV000570--R4-2,False,8,8,185,46,158,5,41,5,5,3,150,61,7,"{""DEL"": 40, ""INV"": 17, ""TRA"": 92, ""DUP"": 7, ""INS"": 2}"
MMV019017--R7-2,False,12,10,74,7,71,7,11,5,7,4,60,24,4,"{""TRA"": 60, ""DEL"": 3, ""INV"": 3, ""DUP"": 4, ""INS"": 1}"
