chromosome,length,CBR110-15-R3a_log2,CBR110-15-R3a_fold_change,Carmaphycin-R9-2_log2,Carmaphycin-R9-2_fold_change,Doxorubicin16-R2b_log2,Doxorubicin16-R2b_fold_change,NODRUG-GM2_log2,NODRUG-GM2_fold_change
I,230218,0.3289,1.256,0.0298,1.021,0.0194,1.014,0.0003,1.000
II,813184,-0.0829,0.944,-0.0021,0.999,0.0009,1.001,-0.0003,1.000
III,316620,0.1054,1.076,-0.0017,0.999,-0.1276,0.915,-0.0374,0.974
IV,1531933,-0.0389,0.973,-0.0359,0.975,-0.0279,0.981,-0.0193,0.987
V,576874,-0.0186,0.987,0.0147,1.010,0.0172,1.012,0.0309,1.022
VI,270161,0.1871,1.138,0.0290,1.020,0.0003,1.000,0.0132,1.009
VII,1090940,0.0124,1.009,0.0004,1.000,0.0008,1.001,-0.0040,0.997
VIII,562643,-0.0403,0.972,0.0390,1.027,-0.0003,1.000,0.0244,1.017
IX,439888,-0.0443,0.970,-0.0082,0.994,-0.0198,0.986,-0.0296,0.980
X,745751,-0.0096,0.993,0.0324,1.023,0.0342,1.024,0.0235,1.016
XI,666816,-0.0656,0.956,-0.0130,0.991,-0.0204,0.986,-0.0128,0.991
XII,1078177,0.1443,1.105,-0.0171,0.988,0.0056,1.004,0.2127,1.159
XIII,924431,0.0096,1.007,0.0087,1.006,0.0209,1.015,0.0129,1.009
XIV,784333,-0.0615,0.958,-0.0004,1.000,-0.0147,0.990,-0.0075,0.995
XV,1091291,-0.0251,0.983,-0.0303,0.979,-0.0413,0.972,-0.0247,0.983
XVI,948066,-0.0253,0.983,-0.0047,0.997,-0.0052,0.996,0.0044,1.003
Mito,85779,,,,,,,,
