chromosome,length,CBR110-15-R3a_log2,CBR110-15-R3a_fold_change,Carmaphycin-R9-2_log2,Carmaphycin-R9-2_fold_change,Doxorubicin16-R2b_log2,Doxorubicin16-R2b_fold_change,NODRUG-GM2_log2,NODRUG-GM2_fold_change
I,230218,0.3590,1.283,0.0286,1.020,0.0167,1.012,0.0007,1.001
II,813184,-0.0527,0.964,-0.0033,0.998,-0.0018,0.999,0.0000,1.000
III,316620,0.1355,1.098,-0.0029,0.998,-0.1303,0.914,-0.0370,0.975
IV,1531933,-0.0087,0.994,-0.0371,0.975,-0.0307,0.979,-0.0189,0.987
V,576874,0.0116,1.008,0.0135,1.009,0.0145,1.010,0.0313,1.022
VI,270161,0.2172,1.162,0.0278,1.019,-0.0024,0.998,0.0136,1.009
VII,1090940,0.0425,1.030,-0.0008,0.999,-0.0019,0.999,-0.0036,0.998
VIII,562643,-0.0102,0.993,0.0378,1.027,-0.0031,0.998,0.0248,1.017
IX,439888,-0.0142,0.990,-0.0094,0.993,-0.0225,0.985,-0.0292,0.980
X,745751,0.0206,1.014,0.0312,1.022,0.0314,1.022,0.0239,1.017
XI,666816,-0.0355,0.976,-0.0142,0.990,-0.0231,0.984,-0.0124,0.991
XII,1078177,0.1744,1.128,-0.0183,0.987,0.0029,1.002,0.2131,1.159
XIII,924431,0.0397,1.028,0.0076,1.005,0.0182,1.013,0.0133,1.009
XIV,784333,-0.0314,0.978,-0.0016,0.999,-0.0174,0.988,-0.0071,0.995
XV,1091291,0.0051,1.004,-0.0315,0.978,-0.0440,0.970,-0.0243,0.983
XVI,948066,0.0048,1.003,-0.0059,0.996,-0.0080,0.995,0.0048,1.003
Mito,85779,,,,,,,,
