chromosome,start,end,CBR110-15-R3a_log2,CBR110-15-R3a_fold_change,Carmaphycin-R9-2_log2,Carmaphycin-R9-2_fold_change,Doxorubicin16-R2b_log2,Doxorubicin16-R2b_fold_change,NODRUG-GM2_log2,NODRUG-GM2_fold_change
X,0,5005,0.2658,1.202,0.3367,1.263,0.1145,1.083,0.1120,1.081
X,5005,10010,0.3919,1.312,0.2206,1.165,0.0322,1.023,0.0677,1.048
X,10010,15015,0.2976,1.229,0.0929,1.067,0.0071,1.005,0.0153,1.011
X,15015,20020,0.3890,1.310,0.1842,1.136,0.1303,1.095,0.1116,1.080
X,20020,25025,0.1337,1.097,-0.0127,0.991,-0.0730,0.951,-0.0091,0.994
X,25025,30030,0.1088,1.078,-0.0482,0.967,0.0055,1.004,0.0339,1.024
X,30030,35035,0.1035,1.074,-0.0358,0.976,0.0292,1.020,0.0220,1.015
X,35035,40040,0.2580,1.196,0.0737,1.052,0.1013,1.073,0.0633,1.045
X,40040,45045,-0.0617,0.958,-0.1473,0.903,-0.2091,0.865,0.0303,1.021
X,45045,50050,0.3284,1.256,0.1482,1.108,0.1897,1.141,-0.0515,0.965
X,50050,55055,0.0090,1.006,-0.0623,0.958,-0.0405,0.972,-0.0218,0.985
X,55055,60060,0.2541,1.193,0.1949,1.145,0.2163,1.162,-0.0141,0.990
X,60060,65065,0.1813,1.134,0.1114,1.080,0.1159,1.084,0.0271,1.019
X,65065,70070,0.0556,1.039,0.0065,1.004,-0.0226,0.984,-0.0307,0.979
X,70070,75075,0.0438,1.031,0.0463,1.033,-0.0765,0.948,0.0069,1.005
X,75075,80080,-0.1173,0.922,-0.0229,0.984,-0.1972,0.872,-0.1298,0.914
X,80080,85085,0.1947,1.145,0.1873,1.139,0.1618,1.119,0.0203,1.014
X,85085,90090,-0.0477,0.967,-0.0606,0.959,-0.0502,0.966,-0.0583,0.960
X,90090,95095,-0.2605,0.835,-0.1790,0.883,-0.2397,0.847,0.0592,1.042
X,95095,100100,0.2290,1.172,0.1693,1.125,0.2040,1.152,-0.0007,1.000
X,100100,105105,-0.2001,0.870,-0.1270,0.916,-0.0969,0.935,0.0524,1.037
X,105105,110110,0.0061,1.004,-0.0344,0.976,-0.0311,0.979,0.0870,1.062
X,110110,115115,0.3121,1.241,0.1506,1.110,0.1962,1.146,0.0082,1.006
X,115115,120120,0.0785,1.056,0.0784,1.056,0.0196,1.014,0.0179,1.012
X,120120,125126,-0.2636,0.833,-0.2390,0.847,-0.1695,0.889,0.0235,1.016
X,125126,130131,-0.0621,0.958,-0.0374,0.974,0.0721,1.051,0.0824,1.059
X,130131,135136,-0.0447,0.969,0.0206,1.014,-0.0282,0.981,-0.0208,0.986
X,135136,140141,-0.1492,0.902,-0.0129,0.991,-0.1131,0.925,-0.0538,0.963
X,140141,145146,-0.1445,0.905,-0.0045,0.997,-0.0681,0.954,0.0053,1.004
X,145146,150151,0.0015,1.001,0.1149,1.083,0.0234,1.016,-0.0391,0.973
X,150151,155156,-0.2044,0.868,-0.0642,0.956,-0.0474,0.968,0.0369,1.026
X,155156,160161,-0.1138,0.924,-0.0463,0.968,-0.1246,0.917,-0.0139,0.990
X,160161,165166,-0.1732,0.887,-0.0302,0.979,-0.0007,1.000,-0.0553,0.962
X,165166,170171,-0.0323,0.978,0.0578,1.041,0.1601,1.117,0.0761,1.054
X,170171,175176,0.0051,1.004,0.1245,1.090,0.1442,1.105,0.0050,1.003
X,175176,180181,0.0015,1.001,0.0754,1.054,0.0926,1.066,-0.0139,0.990
X,180181,185186,-0.1339,0.911,0.0216,1.015,0.0101,1.007,0.0796,1.057
X,185186,190191,-0.2335,0.851,-0.2133,0.863,-0.1539,0.899,-0.0219,0.985
X,190191,195196,0.0015,1.001,0.1053,1.076,0.0890,1.064,0.0481,1.034
X,195196,200201,-0.1001,0.933,0.0124,1.009,-0.0007,1.000,0.0038,1.003
X,200201,205206,-0.0370,0.975,0.0627,1.044,0.0094,1.007,0.0474,1.033
X,205206,210211,-0.0291,0.980,-0.0884,0.941,0.0507,1.036,-0.0312,0.979
X,210211,215216,-0.1088,0.927,-0.0615,0.958,0.0905,1.065,0.0897,1.064
X,215216,220221,-0.0469,0.968,-0.0532,0.964,0.0692,1.049,0.0262,1.018
X,220221,225226,-0.0302,0.979,0.1226,1.089,0.0012,1.001,-0.0223,0.985
X,225226,230231,-0.1084,0.928,-0.0676,0.954,-0.0341,0.977,0.0214,1.015
X,230231,235236,-0.0266,0.982,0.0700,1.050,-0.0482,0.967,-0.0029,0.998
X,235236,240241,-0.1555,0.898,-0.0196,0.987,-0.1209,0.920,0.0098,1.007
X,240241,245246,0.0015,1.001,0.0262,1.018,0.0152,1.011,0.0559,1.039
X,245246,250252,-0.3266,0.797,-0.2064,0.867,-0.2248,0.856,-0.0090,0.994
