sample	direction	outcome	chrom	pos_single	pos_joint	shift	cipos_joint	shift_inside_cipos	svtype	filter_single	filter_joint	gt_single	gt_joint	ft_single	ft_joint	gq_single	gq_joint	pr_sr_alt_single	pr_sr_alt_joint
CBR110-15-R3a	single->joint	found	III	84801	84801	0	0,0	True	DEL	PASS	PASS	1/1	1/1	PASS	PASS	212	214	44/61	45/61
CBR110-15-R3a	single->joint	found	IV	465921	465921	0	0,0	True	BND	MaxDepth	PASS	1/1	1/1	PASS	PASS	445	657	9/210	13/287
CBR110-15-R3a	single->joint	found	IV	727463	727486	23	-364,365	True	BND	PASS	PASS	0/1	0/1	PASS	PASS	21	82	9/0	13/0
CBR110-15-R3a	single->joint	found	IV	1279270	1279237	33	-413,414	True	BND	PASS	PASS	0/1	0/1	PASS	PASS	143	165	16/0	18/0
CBR110-15-R3a	single->joint	LOST	V	33319					BND	PASS		0/1		PASS		326		24/0	
CBR110-15-R3a	single->joint	found	VI	81218	81173	45	0,0	False	BND	PASS	PASS	0/1	0/1	PASS	PASS	326	567	24/0	26/12
CBR110-15-R3a	single->joint	found	VII	530034	530034	0	0,22	True	INS	MaxDepth	PASS	1/1	1/1	PASS	PASS	379	391	0/161	0/166
CBR110-15-R3a	single->joint	found	XII	46220	46204	16	-375,375	True	BND	PASS	PASS	0/1	0/1	PASS	PASS	55	70	10/0	12/0
CBR110-15-R3a	single->joint	found	XII	116434	116434	0	0,0	True	BND	MaxDepth	PASS	1/1	1/1	PASS	PASS	363	545	8/177	8/247
CBR110-15-R3a	single->joint	found	XII	732282	732282	0	0,0	True	DEL	PASS	PASS	1/1	1/1	PASS	PASS	186	192	25/52	26/53
CBR110-15-R3a	single->joint	LOST	XII	818469					INS	PASS		1/1		PASS		154		21/35	
CBR110-15-R3a	single->joint	found	XIII	908138	908138	0	0,4	True	DUP	MaxDepth	PASS	0/1	0/1	PASS	PASS	999	999	31/86	34/92
CBR110-15-R3a	single->joint	found	XV	159560	159560	0	0,0	True	BND	MaxDepth	PASS	1/1	1/1	PASS	PASS	363	545	8/177	8/247
CBR110-15-R3a	single->joint	found	XV	159560	159560	0	0,0	True	BND	MaxDepth	PASS	1/1	1/1	PASS	PASS	445	657	9/210	13/287
CBR110-15-R3a	single->joint	found	XV	159654	159663	9	-265,265	True	BND	PASS	PASS	0/1	0/0	PASS	HomRef;MinGQ	29	7	9/0	9/0
CBR110-15-R3a	single->joint	found	XV	159660	159661	1	-266,267	True	DEL	PASS	PASS	0/1	0/0	PASS	HomRef	90	167	13/0	8/0
CBR110-15-R3a	single->joint	found	XV	159667	159693	26	-303,304	True	BND	PASS	PASS	0/1	0/1	PASS	PASS	143	165	16/0	18/0
