chromosome,start,end,chr_length,CBR110-15-R3a_log2,CBR110-15-R3a_absolute_cn,Carmaphycin-R9-2_log2,Carmaphycin-R9-2_absolute_cn,Doxorubicin16-R2b_log2,Doxorubicin16-R2b_absolute_cn,NODRUG-GM2_log2,NODRUG-GM2_absolute_cn,CBR110-15-R3a_diploid_cn,Carmaphycin-R9-2_diploid_cn,Doxorubicin16-R2b_diploid_cn,NODRUG-GM2_diploid_cn
X,0,745751,745751,0.0206,1.0264,0.0312,1.0278,0.0314,1.0289,0.0239,1.0193,2,2,2,2
I,0,230218,230218,0.3590,1.2984,0.0286,1.0276,0.0167,1.0195,0.0007,1.0017,3,2,2,2
V,0,576874,576874,0.0116,1.0364,0.0135,1.0278,0.0145,1.0283,0.0313,1.0388,2,2,2,2
II,0,59866,813184,0.2965,1.2345,0.1191,1.0940,0.0954,1.0714,0.0213,1.0171,3,2,2,2
II,59866,763295,813184,-0.0527,0.9688,-0.0179,0.9905,-0.0111,0.9962,-0.0026,0.9987,2,2,2,2
II,763295,813184,813184,0.2393,1.1843,0.0556,1.0432,0.0133,1.0098,0.0124,1.0089,3,2,2,2
III,0,316620,316620,0.1355,1.1210,-0.0029,1.0101,-0.1303,0.9665,-0.0370,0.9823,2,2,2,2
IV,0,1531933,1531933,-0.0087,1.0126,-0.0371,0.9890,-0.0307,0.9954,-0.0189,0.9958,2,2,2,2
IX,0,389900,439888,-0.0142,1.0001,-0.0264,0.9888,-0.0409,0.9789,-0.0384,0.9778,2,2,2,2
IX,389900,439888,439888,0.3558,1.2879,0.1231,1.0940,0.1206,1.0921,0.0421,1.0297,3,2,2,2
VI,0,270161,270161,0.2172,1.1718,0.0278,1.0255,-0.0024,1.0032,0.0136,1.0113,3,2,2,2
VII,0,1090940,1090940,0.0425,1.0410,-0.0008,1.0074,-0.0019,1.0067,-0.0036,1.0002,2,2,2,2
VIII,0,562643,562643,-0.0102,1.0114,0.0378,1.0434,-0.0031,1.0111,0.0248,1.0419,2,2,2,2
XI,0,666816,666816,-0.0355,0.9942,-0.0142,1.0012,-0.0231,0.9963,-0.0124,0.9965,2,2,2,2
XII,0,449240,1078177,-0.0837,0.9683,-0.0477,0.9888,-0.0511,0.9854,-0.0254,0.9956,2,2,2,2
XII,449240,494164,1078177,2.4686,13.4317,2.5861,15.7411,2.5903,14.7462,2.8422,25.3780,2,13,13,3
XII,494164,1063202,1078177,-0.0246,0.9933,-0.0183,0.9939,-0.0131,0.9989,-0.0050,0.9986,2,2,2,3
XII,1063202,1078177,1078177,0.8548,1.8343,0.7726,1.7390,0.6117,1.5540,0.6125,1.5770,2,4,2,3
XIII,0,924431,924431,0.0397,1.0384,0.0076,1.0115,0.0181,1.0190,0.0133,1.0108,2,2,2,2
XIV,0,784333,784333,-0.0314,0.9948,-0.0016,1.0104,-0.0174,0.9997,-0.0071,1.0012,2,2,2,2
XV,0,1091291,1091291,0.0051,1.0285,-0.0315,0.9968,-0.0440,0.9910,-0.0243,0.9971,2,2,2,2
XVI,0,948066,948066,0.0048,1.0175,-0.0059,1.0069,-0.0080,1.0049,0.0048,1.0087,2,2,2,2
