chromosome,start,end,chr_length,CBR110-15-R3a_log2,CBR110-15-R3a_fold_change,Carmaphycin-R9-2_log2,Carmaphycin-R9-2_fold_change,Doxorubicin16-R2b_log2,Doxorubicin16-R2b_fold_change,NODRUG-GM2_log2,NODRUG-GM2_fold_change
X,0,10010,745751,0.3336,1.260,0.2820,1.216,0.1201,1.087,0.0673,1.048
X,15015,20020,745751,0.4035,1.323,0.1807,1.133,0.1398,1.102,0.0747,1.053
X,45045,50050,745751,0.3276,1.255,0.1480,1.108,0.1863,1.138,-0.0549,0.963
X,110110,115115,745751,0.3143,1.243,0.1531,1.112,0.1928,1.143,0.0042,1.003
X,245246,250252,745751,-0.3233,0.799,-0.2083,0.866,-0.2366,0.849,-0.0011,0.999
X,265267,270272,745751,-0.5455,0.685,-0.3582,0.780,-0.4514,0.731,-0.0403,0.972
X,285287,300302,745751,-0.4391,0.738,-0.2539,0.839,-0.2060,0.867,-0.0180,0.988
X,360362,365367,745751,-0.4963,0.709,-0.2351,0.850,-0.1292,0.914,-0.0237,0.984
X,390393,395398,745751,-0.4040,0.756,-0.2398,0.847,-0.2099,0.865,-0.0574,0.961
X,470473,485488,745751,0.6195,1.536,0.5784,1.493,0.6149,1.531,0.3656,1.288
X,525529,530534,745751,0.6577,1.578,0.5970,1.513,0.4582,1.374,0.8243,1.771
X,655660,660665,745751,0.3977,1.317,0.3188,1.247,0.2580,1.196,0.0029,1.002
X,675680,680685,745751,0.3117,1.241,0.1903,1.141,0.2864,1.220,-0.0159,0.989
X,710715,720725,745751,0.5351,1.449,0.2326,1.175,0.3479,1.273,0.0865,1.062
X,735740,745751,745751,0.5083,1.422,0.3082,1.238,-0.0345,0.976,0.0578,1.041
I,0,65061,230218,0.4983,1.413,0.0778,1.055,0.0466,1.033,-0.0129,0.991
I,70066,75071,230218,0.0998,1.072,-0.3114,0.806,-0.2990,0.813,-0.0528,0.964
I,85080,90085,230218,0.4002,1.320,0.1797,1.133,0.1321,1.096,-0.0508,0.965
I,95090,100094,230218,0.3418,1.267,0.0527,1.037,0.0695,1.049,-0.0128,0.991
I,155146,185175,230218,0.5866,1.502,0.2470,1.187,0.3123,1.242,0.0437,1.031
I,190180,220208,230218,0.3442,1.269,-0.0381,0.974,-0.0037,0.997,-0.0152,0.990
I,225213,230218,230218,0.7884,1.727,0.2787,1.213,0.0040,1.003,0.1104,1.080
V,0,15048,576874,0.4129,1.331,0.2832,1.217,0.0434,1.031,0.0619,1.044
V,20065,35114,576874,0.1219,1.088,-0.1063,0.929,-0.0968,0.935,-0.2180,0.860
V,115374,120391,576874,2.1170,4.338,1.8506,3.607,1.8851,3.694,2.0233,4.065
V,190619,195635,576874,-0.6279,0.647,-0.3521,0.783,-0.2261,0.855,-0.1531,0.899
V,220717,225733,576874,-0.5033,0.705,-0.3201,0.801,-0.3469,0.786,-0.0211,0.985
V,361173,366189,576874,-0.3268,0.797,-0.1971,0.872,-0.1192,0.921,0.0541,1.038
V,441434,451466,576874,0.5633,1.478,0.5080,1.422,0.5041,1.418,0.2850,1.218
V,471531,476548,576874,-0.4492,0.732,-0.3567,0.781,-0.1608,0.895,-0.2371,0.848
V,491596,496613,576874,0.4486,1.365,0.4884,1.403,0.4645,1.380,0.2222,1.167
V,526711,536743,576874,0.3378,1.264,0.1426,1.104,0.2860,1.219,0.0355,1.025
V,556808,561825,576874,0.3481,1.273,0.0742,1.053,0.0274,1.019,-0.0252,0.983
V,566841,576874,576874,0.4759,1.391,0.4890,1.403,0.2054,1.153,0.2708,1.206
II,0,9977,813184,0.5182,1.432,0.4545,1.370,0.1556,1.114,0.1383,1.101
II,19955,24944,813184,0.4275,1.345,0.1128,1.081,0.1547,1.113,0.0342,1.024
II,29933,34922,813184,0.3955,1.315,0.1526,1.112,0.2951,1.227,-0.2033,0.869
II,164632,169621,813184,-0.3311,0.795,-0.2432,0.845,-0.2954,0.815,-0.1113,0.926
II,219509,224498,813184,0.4486,1.365,0.3295,1.257,0.3437,1.269,0.1449,1.106
II,259420,264409,813184,0.4461,1.362,0.3062,1.236,0.4410,1.358,0.0356,1.025
II,299331,304320,813184,-0.3289,0.796,-0.2859,0.820,-0.2260,0.855,-0.0791,0.947
II,329264,334253,813184,-0.4261,0.744,-0.3319,0.794,-0.4718,0.721,-0.0168,0.988
II,369175,374164,813184,-0.2933,0.816,-0.3183,0.802,-0.3416,0.789,0.0045,1.003
